date,lender,amount,borrower,industry,structure,description,location
4/7/2015,PNC Bank [Lender],$25.0 MM,"Appleton Coated, LLC",Paper,Senior Secured Revolver,The funds are being used as ongoing working capital. Transaction details not disclosed.,WI
4/7/2015,"Bank of America [Administrative Agent, Swing Line Lender, L/C Issuer]
Merrill Lynch [Sole Lead Arranger, Sole Bookrunner]
PNC Bank [Syndication Agent]
Bank of Montreal [Co-Documentation Agent]
Northern Trust [Co-Documentation Agent]",$400.0 MM,DeVry Education Group,Education,Revolving Credit Facility,"The amount of borrowing capacity available under the credit agreement is $400 million. Subject to certain conditions set forth in the credit agreement, the aggregate commitment may be increased up to $550 million. The credit agreement has a five-year term ending May 2020 and replaces DeVry Group’s prior $400 million agreement that was set to expire in May 2016. Borrowings under the credit agreement bear interest at LIBOR plus 200 basis points, although higher margins up to 300 basis points may apply based on the ratio of consolidated total debt to EBITDA (earnings before interest, taxes, depreciation and amortization). The credit agreement contains customary affirmative, negative and financial maintenance covenants, representations, warranties, events of default and remedies upon default including acceleration, and borrowing conditions.",
4/7/2015,Bridge Bank [Lender],$20.0 MM,HotSchedules,Technology,Credit Facilities; Working Capital Advances,A combination of credit facilities and working capital advances totaling $20 million.,
4/8/2015,"GE Antares [Administrative Agent]
GE Capital Markets Group [Joint Lead Arranger, Joint Bookrunner]",$138.0 MM,Irving Place Capital,Consumer Products,Senior Secured Credit Facility,"Senior secured credit facility to support the acquisition of Bendon, Inc. by Irving Place Capital. Transaction details not disclosed.",OH
4/8/2015,MB Business Capital [Lender],$15.0 MM,"Plastic Suppliers, Inc.",Plastics,Senior Credit Facility,The new MBBC credit facility was provided to fund working capital needs of the company. Transaction details not disclosed.,OH
4/8/2015,MB Business Capital [Lender],$12.0 MM,Texas Wholesale,Distribution,Senior Credit Facility,The new MB credit facility was provided to refinance the company’s debt and to fund working capital needs of the company going forward. Transaction details not disclosed.,TX
4/9/2015,"HSBC Bank Canada [Sole Lead Arranger, Administrative Agent, Sole Bookrunner]
Toronto Dominion Bank [Lender]
Bank of Montreal [Lender]
National Bank of Canada [Lender]
Canadian Imperial Bank of Commerce [Lender]
Export Development Canada [Lender]
Business Development Bank of Canada [Lender]",$200.0 MM,Avigilon Corporation,Security Systems,$160MM Multi-Currency Revolvers; $40MM Term Loan,"A new multi-tranche US$200 (CDN$250) million senior secured syndicated credit facility (the “Credit Facility”). The Credit Facility includes a US$100 million multi-currency revolving acquisition facility (the “Acquisition Facility”), a US$60 million multi-currency revolving line (the “Revolver”), and a US$40 million real estate term loan (the “Real Estate Loan”). The Credit Facility has a three-year term and carries interest at Avigilon’s option of either prime rate, U.S. base rate, banker’s acceptance rate, or Libor plus a margin based on Avigilon’s senior consolidated debt to EBITDA ratio. All debts, liabilities and obligations of the Company under the Credit Facility are being secured by a first-ranking security interest over all present and future assets, property and undertakings of the Company and its subsidiaries. The Credit Facility funds the purchase of the company's future global headquarters, and helps provide for ongoing growth.",
4/10/2015,MidCap Financial [Lender],$28.0 MM,"Staffing 360 Solutions, Inc.",Staffing Services,$25MM Revolver; $3MM Term Loan,"A $25 million revolving credit facility and $3 million term loan. The $3 million term loan has a term of four years and will provide working capital to support organic growth and improve the company's balance sheet. The $25 million revolving credit facility is backed by the company's accounts receivables and will replace the company's existing $15 million facility with Wells Fargo, providing additional room for expansion as the company grows.",
4/10/2015,"Wells Fargo Capital Finance [Joint Lead Arranger, Joint Book Manager]
Bank of America [Joint Lead Arranger, Joint Book Manager]
Royal Bank of Canada [Joint Lead Arranger, Joint Book Manager]
Deutsche Bank Securities, Inc. [Joint Lead Arranger, Joint Book Manager]
Barclays Bank [Joint Lead Arranger, Joint Book Manager]",$150.0 MM,Masonite International Corporation,Building Supply,Revolver Increase; Amendment,"Amended and Restated $150 million asset-based revolving credit facility, which is secured by the company’s inventory and accounts receivable in the United States and Canada. The company increased the size of the committed facility to $150 million from $125 million, and extended the maturity date of the revolving ABL facility to April 9, 2020 from its prior maturity date of May 17, 2016. As of April 9, 2015, there were no amounts outstanding under the ABL facility.",
4/13/2015,Bridge Bank [Lender],$6.5 MM,"Certent, Inc.",Technology,Line of Credit,Recurring revenue line of credit facility.Transaction details not disclosed.,CA
4/13/2015,MB Business Capital [Lender],$25.0 MM,"Emtec, Inc.",Technology,Senior Credit Facility,"The new MB credit facility was provided to facilitate the acquisition of Lucidity Consulting Group, a business and technology consulting firm and to fund working capital needs of the company going forward. Transaction details not disclosed.",PA
4/13/2015,QVT Financial LP [Lender],$2.0 MM,Aehr Test Systems,Semiconductor,Line of Credit,"The company completed a convertible debt financing with strategic investor QVT Financial LP consisting of a $4.1 million convertible note and a $2 million line of credit. The $4.1 million convertible debt is a secured and senior loan with a two-year term and is convertible into common shares of the company at a conversion price of $2.65 per common share. Interest will be paid in cash quarterly at an annual rate of 9%. The $2 million line of credit is also a secured and senior loan with a term of two years. The annual interest rate on any outstanding advance is 5% and interest is paid quarterly. At the discretion of Aehr Test, this line of credit can be converted into convertible debt with the same terms as described in the preceding paragraph. This new line of credit will replace the existing credit line with Silicon Valley Bank, which will be terminated as a result of this debt financing.",
4/14/2015,"Monroe Capital LLC [Sole Lead Arranger, Administrative Agent]",$36.8 MM,Little River Healthcare,Healthcare,Senior Credit Facility,Senior credit facility. Transaction details not disclosed.,
4/15/2015,Silicon Valley Bank [Lender],$6.0 MM,"Castle Biosciences, Inc.",Medical,Credit Facility,The new loan provides $6 million in new capital to support Castle Biosciences’ growth plans. Transaction details not disclosed.,
4/16/2015,"Wells Fargo Securities [Arranger]
J.P. Morgan Securities [Arranger]
Merrill Lynch [Arranger]",$350.0 MM,"G&K Services, Inc.",Specialty Industries,Revolver,"New five-year revolving credit facility replaces the company's existing $250 million facility. The facility, which will mature on April 15, 2020, bears interest between 1.00 percent to 1.75 percent over LIBOR, depending on the company’s leverage ratio. The new facility can be expanded by $200 million, to a total size of $550 million. The company intends to use borrowings under the new credit facility to repay its $75 million of variable rate unsecured private placement notes which mature on June 30, 2015. In addition, the company has entered into a long-term interest rate swap contract for $75 million which will limit the company’s exposure to interest rate risk. The 15-year swap contract has a forward start date of July 1, 2016 and effectively fixes LIBOR at a rate of 2.35 percent.",
4/16/2015,Square 1 Bank [Lender],$3.0 MM,"AliveCor, Inc.",Technology,Credit Facility,Proceeds of the credit facility will provide the company with working capital to continue product development and pursue strategic growth opportunities. Transaction details not disclosed.,
4/16/2015,"The Bank of Nova Scotia [Joint Lead Arranger, Joint Bookrunner]
Canadian Imperial Bank of Commerce [Joint Lead Arranger, Joint Bookrunner, Administrative Agent, Syndication Agent]
Royal Bank of Canada [Lender]
HSBC Bank Canada [Documentation Agent]
Toronto Dominion Bank [Lender]
Societe Generale [Lender]
Bank of Montreal [Lender]
Credit Suisse AG [Lender]",$300.0 MM,Pan American Silver Corp.,Metals and Mining,Revolver,"New senior secured revolving credit facility with a syndicate of eight lenders. The Facility is a $300 million secured revolving line of credit that matures on April 15, 2019 and is intended for general corporate purposes which could include capital expenditures, investments or potential acquisitions, when and if any such acquisitions are identified. The terms of the Facility provide the Company with the flexibility of various borrowing and letter of credit options. With respect to loans drawn based on the average annual rate of interest at which major banks in the London interbank market are offering deposits in US Dollars (""LIBOR""), the interest margin on such loan is between 2.125% and 3.125% over LIBOR, depending on the Company's leverage ratio at the time of a specified reporting period.",
4/17/2015,Prospect Capital [Lender],$48.5 MM,"USG Intermediate, LLC",Marketing,Revolver & Term Loan,"First lien, floating-rate debt commitments comprised of term loans and a revolving credit facility.",
4/17/2015,East West Bank [Lender],$7.5 MM,"NTN Buzztime, Inc.",Marketing,Revolver w/ $2.5MM Accordion Feature,"Three-year revolving credit agreement with a $2.5MM accordion feature to provide up to $10MM in total borrowing capacity. The East West Bank revolver agreement expires in April 2018 and carries an interest rate, at the company's option, of LIBOR plus 400 basis points or Prime plus 125 basis points. The proceeds will be used to pay down existing indebtedness, fund strategic growth initiatives and provide for general working capital. The company will maintain its existing lender agreement.",
4/20/2015,"J.P. Morgan Securities [Sole Bookrunner, Lead Arranger]",$450.0 MM,Sprouts Farmers Market,Retail,Revolver,"A new five-year, $450 million revolving credit facility to replace its existing term loan and revolving credit facility. The Company will utilize the initial drawing of $260 million under the new credit facility to pay off its existing $258 million term loan and transaction costs associated with the refinancing. Upon the completion of the refinancing, the Company will have approximately $260 million of total debt and $2.5 million of letters of credit outstanding under the new facility, which will mature on April 17, 2020. The revolver has an initial drawn pricing of LIBOR plus 1.75 percent, as compared with LIBOR (with a floor of 1.00 percent) plus 3.00 percent under the previous term loan. At today's interest rates, this pricing would reduce the Company's annual interest expense by approximately $5 million.",
4/20/2015,"NXT Capital [Joint Lead Arranger, Co-Documentation Agent]",$138.5 MM,Irving Place Capital,Consumer Products,Senior Secured Credit Facility,"Credit facility to finance Irving Place Capital’s acquisition of Bendon, Inc. Transaction details not disclosed.",
4/21/2015,Gemino Healthcare Finance [Lender],$6.0 MM,"OMNI Orthopaedics, Inc.",Medical,Revolver,Secured revolving line of credit. The proceeds are being used for working capital purposes. Transaction details not disclosed.,MA
4/21/2015,"GE Capital Markets Group [Co-Lead Arranger, Joint Bookrunner]
NXT Capital [Joint Lead Arranger, Administrative Agent, Joint Bookrunner]",$88.0 MM,Trinity Hunt Partners,Auctioneer,Senior Secured Credit Facility,Senior secured credit facility to support the acquisition of America’s Auto Auction (AAA) by Trinity Hunt Partners. Transaction details not disclosed.,
4/21/2015,JPMorgan Chase Bank [Lead Lender],$300.0 MM,SEA-Vista I LLC,Shipping,$100MM Revolver; $80MM Term Loan; $120MM Delayed Draw Term Loan,"The Credit Facility is comprised of three tranches: (i) a $100 million revolving credit facility; (ii) an $80 million term loan; and (iii) a $120 million delayed draw term loan. The Credit Facility will fund working capital needs, capital commitments under our vessel construction program, the repayment of our outstanding Title XI financing and future growth opportunities. Additional transaction details not disclosed.",
4/21/2015,SunTrust Bank [Administrative Agent],$450.0 MM,"Zayo Group, LLC",Technology,Revolver Increase,"Per the terms of the Seventh Amendment, ZGL’s revolving credit facility was increased by $200 million to $450 million, and the maturity date of the revolving credit facility was extended to the earliest of (i) five years after the effective date of the Seventh Amendment, (ii) six months prior to the maturity date of ZGL’s term loan facility, subject to repayment or refinancing thereof, and (iii) six months prior to the maturity date of ZGL’s 10.125% senior unsecured notes due July 2, 2020, subject to repayment or refinancing thereof. In addition, the Seventh Amendment modified certain terms and provisions of the Credit Agreement, including increasing the letter of credit commitment by $20 million to $50 million and removing the Fixed Charge Coverage Ratio maintenance requirement and replacing such covenant with a springing Senior Secured Leverage Ratio maintenance requirement that will come into effect if at any time ZGL’s term loan facility is amended or refinanced to remove all financial maintenance covenants. Further, pursuant to the Seventh Amendment, up to $50 million of revolving loans and letters of credit may be denominated in or issued in, as applicable, Euros or Sterling.",
4/22/2015,Siena Lending Group LLC [Debtor-in-Possession Lender],$6.0 MM,Gourmet Express,Debtor-in-Possession,Debtor-in-Possession Revolver,A $6.0 million debtor-in-possession revolving credit facility. The facility will be used to fund working capital until the completion of a bankruptcy sale.,KY
4/22/2015,Wells Fargo Capital Finance [Lender],$75.0 MM,North Mill Equipment Finance,Lender Finance,Senior Loan Facility,North Mill Equipment Finance has increased the size of its senior loan facility with Wells Fargo Capital Finance to $75 million. The increased loan facility will enable North Mill to expand its business of originating small-ticket equipment leases and loans throughout the United States through third party referral sources.,CT
4/22/2015,"Oxford Finance [Lender]
Silicon Valley Bank [Lender]",$12.0 MM,"ReShape Medical, Inc.",Medical,Senior Secured Term Loan,A $12 million senior secured term loan agreement. Proceeds of the loan will be used for marketing  purposes and for future product enhancements. Transaction details not disclosed.,
4/23/2015,"Bank of America [Administrative Agent]
Merrill Lynch [Lead Arranger, Book Manager]",$75.0 MM,"Summer Infant, Inc.",Manufacturing,$60MM Revolver; $5MM FILO Facility; $10MM Term Loan,"A restructuring of its debt to include a $60 million revolving credit facility, a $5 million ""first in last out"" (FILO) facility and $10 million term loan facility, replacing the $80 million revolving credit facility and $15 million term loan in place since February, 2013. The asset-based revolver will initially bear interest at a rate equal to LIBOR plus 225 basis points and the FILO facility will bear interest at a rate equal to LIBOR plus 400 basis points. The new term loan facility will initially bear interest at a rate equal to LIBOR plus 400 basis points, as compared to the prior term loan interest rate of 11.25%. The facilities are secured by substantially all of the Company's assets and include covenants related to a maximum leverage ratio as well as customary affirmative and negative covenants. One-time cash expenses of approximately $1.0 million, to be recognized in the second quarter of fiscal 2015, were incurred to consummate this agreement and replace the prior facilities. However, the new debt is expected to save Summer Infant approximately $1.0 million in interest expense annually, or $0.04 per share.",RI
4/23/2015,"Wells Fargo Capital Finance [Lender]
Great American Capital Partners [Lender]",$117.5 MM,"Hancock Fabrics, Inc.",Retail,$100MM Revolver; $17.5MM Term Loan,"Refinancing of the company’s existing senior debt under a new credit agreement. This will provide additional availability over the current senior debt and extends the maturity date of the company’s senior debt to April 22, 2020, subject to a springing maturity provision which could cause the maturity date to be August 22, 2017 if the company’s existing senior notes are not refinanced or repaid before that date and more than $750,000 of the senior notes remains outstanding on such date. The Wells Fargo facility provides senior secured financing of $117.5 million consisting of (a) an up to $100 million revolving credit facility (the “Revolver”), which includes a letter of credit sub-facility of $15 million, and (b) an up to $17.5 million term loan facility (the “Term Loan”) provided by Great American Capital Partners. The proceeds from the new credit facility were used to extinguish the amounts outstanding under the existing loan agreement and to pay related fees and expenses.",
4/23/2015,Webster Bank [Lender],$13.9 MM,The City of Newark,Municipal,Senior Secured Credit Facility,"Senior credit facility.The loan will finance four capital grants to support redevelopment initiatives underway in Newark, as well as pay for costs of issuance of the loan. Transaction details not disclosed.",
4/24/2015,"GE Capital Healthcare Financial Services [Lender]
GE Capital Markets, Inc. [Lead Arranger, Sole Bookrunner]",$320.0 MM,"Diplomat Pharmacy, Inc.",Medical,Senior Credit Facility,"A portion of the funds was used to acquire BioRx, LLC, a Cincinnati, OH-based highly specialized pharmacy and infusion services company that provides treatments for patients with ultra-orphan and rare, chronic diseases. The remainder of the funds will be available for working capital and other general corporate purposes. Transaction details not disclosed.",MI
4/24/2015,"J.P. Morgan Securities [Co-Lead Lender]
PNC Capital Markets [Co-Lead Lender]",$500.0 MM,"Worthington Industries, Inc.",Manufacturing,Revolver Amendment; Increase,"Company amended its five-year, revolving credit facility, increasing the commitments under the facility by $75.0 million, to a total of $500.0 million. The final maturity of the credit facility was also extended by three years to April 2020. Borrowings under the amended credit facility bear interest based on a credit ratings grid and currently equals the applicable LIBOR rate plus 1.25%. The amended credit facility also contains an accordion feature that would allow it to expand by an additional $200 million from new and existing lenders on the same terms and conditions as the existing commitments. Following the amendment, the Company currently has $435.2 million in combined availability under the credit facility and the Company's accounts receivable securitization program.",
4/24/2015,"Fortress Credit Co. LLC [Agent, Lender]",$100.0 MM,"Consumer Portfolio Services, Inc.",Lender Finance,Revolver,"The new agreement replaces a revolving credit agreement that CPS has used since December 2010, in which Fortress was a lead agent and lender. Loans under the new credit agreement will be secured by automobile receivables that CPS now holds or will purchase from dealers in the future. CPS may borrow on a revolving basis through April 2017, after which CPS will have the option to repay the outstanding loans in full or to allow them to amortize for a further two-year period.",
4/27/2015,"BNP Paribas [Sole Lead Arranger, Sole Bookrunner]",$200.0 MM,Canacol Energy Ltd.,Energy,Senior Secured Term Loan,"Funding under the new credit agreement is anticipated to take place on or about April 28, 2015. The new credit agreement will replace the Corporation's existing credit agreement and will offer the following benefits: 1) defers amortization payments until December 31, 2017, allowing the Corporation to dedicate capital to high netback production related projects instead of debt service; and 2) sets certain financial covenants in order to mitigate current and anticipated longer term weakness in crude oil prices, including increasing the maximum consolidated leverage ratio, calculated as consolidated total debt divided by consolidated EBITDAX, determined on a rolling 12-month basis and inclusive of the contribution related to the Corporation's incremental production contract in Ecuador, to 3.50:1. The $200 million term loan is due September 30, 2019, with interest payable quarterly and principal repayable in eight equal quarterly installments starting December 31, 2017, following an initial grace period. The term loan will carry interest at LIBOR plus 4.75% and will be secured by all of the material assets of the Corporation.
Proceeds from the term loan will be used for repayment of principal ($176 million) and accrued interest outstanding under the Corporation's existing term loan, costs of the transaction, and for other general corporate purposes.",
4/27/2015,Fifth Third Bank [Lender],$15.0 MM,Hygea Holdings Corp.,Healthcare,Revolver Increase,Increased existing revolving credit facility from $5MM to $15MM.  Transaction details not disclosed.,
4/27/2015,Citibank [Administrative Agent],$120.0 MM,Lannett Company,Pharmaceutical,Revolver Increase,"The First Amendment increases the Company’s revolving line of credit from $50.0 million to $120.0 million (the “Credit Facility”), consisting of revolving loans, swingline loans not to exceed an aggregate principal amount of $5.0 million and letters of credit not to exceed a maximum aggregate principal amount of $5.0 million.  The First Amendment also includes an accordion feature that will allow the Company to increase the Credit Facility by a total of up to an additional $30.0 million, subject to securing additional commitments from existing lenders or new lending institutions.  The First Amendment also modified certain financial covenants, most notably permitted acquisitions and capital expenditures. Permitted acquisitions increased from $100.0 million to $200.0 million individually and in the aggregate for each fiscal year. Total permitted acquisitions over the remaining term of the Credit Agreement were increased to $600.0 million.  Capital expenditure covenants were also increased over the term of the Credit Agreement based on certain leverage ratios, as defined.  At closing, the Company had $120.0 million available for borrowing under the Credit Facility.",
4/28/2015,Oxford Finance [Lender],$26.0 MM, ,Medical,Secured Term Loan,"Industry
            

                Medical",
4/29/2015,MB Business Capital [Lender],$10.0 MM,"Azco Supply, Inc.",Distribution,Senior Credit Facility,The credit facility was provided to refinance debt and to fund working capital needs of the company going forward.,CA
4/29/2015,Marquette Business Credit [Lender],$5.8 MM,Impex Global,Distribution,Revolver; Cash Flow Term Loan,Revolving line of credit and cash flow term loan.,TX
4/29/2015,US Capital Partners [Lender],$3.0 MM,"Direct Communication Solutions, Inc.",Telecom,Asset-Based Line of Credit,"Accounts receivable and inventory line of credit. The company needed to buy out an existing partner in the business, as well as to put in place a more expansive financing structure. DCS’s financing covenants and facility size restricted the company’s ability to accomplish its business objectives. The new facility provides the company the ability to leverage the assets of the business in order to put in place a larger, less restrictive asset-based facility. The financing also provided additional working capital for pursuing growth opportunities.",CA
4/30/2015,"KeyBank [Joint Lead Arranger, Sole Bookrunner, Administrative Agent]
SunTrust Bank [Joint Lead Arranger, Co-Syndication Agent]
Regions Bank [Lender]
U.S. Bank [Lender]
Royal Bank of Canada [Lender]
Associated Bank [Lender]
Branch Banking & Trust Co. [Lender]
The Huntington National Bank [Lender]",$200.0 MM,"Installed Building Products, Inc.",Building Supplies,$100MM Revolver; $50MM Term Loan; $50MM Delayed Draw Term Loan,"New five year, $200 million senior secured credit facility with an accordion feature allowing the company to increase the borrowing capacity to $225 million, subject to certain approvals. The credit facility consists of a $100 million revolving line of credit, a $50 million term loan, and a $50 million delayed draw term loan. Borrowings under the senior credit facility will bear interest at a rate of LIBOR plus a spread of 1.25% to 2.25%, depending on IBP’s leverage ratio. The new credit facility will be available for general corporate purposes and growth initiatives. This new credit facility replaces the company’s prior $75 million revolver and $25 million term loan.",
4/30/2015,Bank of America [Lender],$100.0 MM,Lumber Liquidators,Retail,Revolver,"A senior secured $100 million asset-based revolving credit facility, which amends and restates the Company's existing $50 million revolving credit facility.  The asset-based senior secured facility carries a five year term, is primarily secured by the Company's inventory, and generally maintains the interest rates and fees of the Company's existing revolving credit facility.  The Company intends to continue to use the asset-based senior secured facility to fund operations and anticipated capital expenditures.  The Company currently has $20.0 million outstanding under this facility.",
4/30/2015,Square 1 Bank [Lender],$3.0 MM,InDemand Interpreting,Specialty Industries,Credit Facility,Proceeds of the credit facility will support the company's continued growth. Transaction details not disclosed.,
5/1/2015,"Bank of America [Arranger]
PNC Capital Markets [Arranger]
BMO Capital Markets [Arranger]",$200.0 MM,Exide Technologies,Manufacturing,Credit Facility - Chapter 11 Exit Financing,$200 million exit financing to fund the company's working capital needs. Transaction details not disclosed.,
5/1/2015,MB Business Capital [Lender],$21.0 MM,Nutiva,Food Production - Processing,Senior Credit Facility,The new credit facility was provided to refinance debt and to fund working capital needs of the company going forward. Transaction details not disclosed.,CA
5/1/2015,BMO Harris Bank [Lender],$50.0 MM,"StarTek, Inc.",Technology,Revolver,"A new five-year, $50.0 million secured revolving credit facility with BMO Harris Bank N.A. on April 29, 2015. The amount the company may borrow under the revolving credit facility is subject to a borrowing base calculation, with an “accordion” feature to borrow up to $70.0 million in the aggregate. The facility will replace the company’s $20.0 million secured line of credit with Wells Fargo Bank, N.A. which was set to expire in February 2016. Under the new agreement, the interest rate on borrowings will decrease from LIBOR plus 2.50%-3.00% to LIBOR plus 1.75%-2.25%.",
5/1/2015,Marquette Business Credit [Lender],$10.0 MM,"DataSpan Holdings, Inc.",Technology,Working Capital Line of Credit,Marquette's credit facility will provide DataSpan with a strong working capital solution to help facilitate future growth. Transaction details not disclosed.,
5/4/2015,"JPMorgan Chase Bank [Lender]
Santander Bank [Lender]",$650.0 MM,TerraForm Power,Energy,Revolver Increase,"Increased total commitments to the five-year revolving credit facility of its wholly-owned subsidiary TerraForm Power Operating, LLC by $100 million to $650 million in the aggregate.  The Revolver was previously upsized to $550 million and extended to January 2020 in January 2015. The company's bank group now consists of ten leading financial institutions. Transaction details not disclosed.",
5/5/2015,"CIT Bank [Lender]
CIT Real Estate Finance [Lender]",$57.5 MM,"A joint venture between RedSky Capital LLC, JZ Capital Partners",Real Estate,Senior Secured Loan,"To acquire property along the Brooklyn waterfront. The site, located in the popular Greenpoint neighborhood, includes 112,226 square feet of land and 19,820 square feet of pier space. Transaction details not disclosed.",
5/5/2015,Bank of America [Administrative Agent],$825.0 MM,Herbalife Ltd.,Nutritional Products,Facility Amendment,"Third amendment of its existing syndicated credit agreement, dated as of March 9, 2011, with Bank of America Merrill Lynch as administrative agent. As of March 31, 2015, the company had $500 million drawn on its revolving credit facility and a $325 million balance on its term loan. The amendment restates the existing credit agreement to, among other things, extend the maturity of $425 million of the revolving credit facility from March 9, 2016 until March 9, 2017. No changes were made to the maturity date of the company’s term loan, which will mature on March 9, 2016.
Among other conditions, the company will make principal payments of approximately $51 million on the revolving credit facility and $20 million on the term loan upon closing of the amendment, and stepdown the balance of the revolving credit facility to $425 million with an additional payment in September 2015.",
5/5/2015,Oxford Finance [Lender],$10.0 MM,"Celula, Inc.",Medical,Senior Secured Term Loan,A $10 million senior secured term loan to support the growth of the company and the expansion of its product line.  Transaction details not disclosed.,
5/5/2015,"JPMorgan Chase Bank [Co-Syndication Agent]
Bank of America [Co-Syndication Agent]
U.S. Bank [Co-Syndication Agent, Joint Lead Arranger, Joint Bookrunner]
The Bank of Tokyo-Mitsubishi UFJ [Documentation Agent]
Branch Banking & Trust Co. [Co-Syndication Agent]
Wells Fargo Securities [Joint Lead Arranger, Joint Bookrunner]
JP Morgan Securities [Joint Lead Arranger, Joint Bookrunner]
Wells Fargo Bank [Administrative Agent]
Merrill Lynch [Joint Lead Arranger, Joint Bookrunner]",$1.0 B,"Woodward, Inc.",,Facility Amemdment/Increase,"Aamendments were made to the Company’s existing revolving Credit Agreement, dated as of July 10, 2013 (the “Credit Agreement” and, together with the Amendment, the “Amended Credit Agreement”). Effective as of April 28, 2015, the Amendment, among other things, increases the aggregate revolving loan commitment of all the lenders from $600,000,000 to $1,000,000,000. Amounts outstanding under the Amended Credit Agreement generally bear interest at LIBOR (or, for loans denominated in Canadian dollars, CDOR) plus 0.85% to 1.65%, which is due quarterly in arrears. The Amended Credit Agreement contains customary representations and warranties, affirmative and negative covenants, including financial covenants regarding maximum leverage ratio and minimum consolidated net worth, and events of default. The Amended Credit Agreement also includes customary conditions precedent to the making of advances and the issuance of letters of credit. Upon the occurrence of a Default (as defined in the Amended Credit Agreement,), all amounts outstanding under the Amended Credit Agreement, including principal, accrued interest, and any other fees may, and in the case of certain bankruptcy-related Defaults will, be accelerated and become immediately due and payable.",
5/5/2015,Salus Capital Partners [Lender],$30.0 MM,LESS Institue,Healthcare,Line of Credit,Transaction details not disclosed.,
5/6/2015,Victory Park Capital [Lender],$50.0 MM,The Credit Junction,Lender Finance,Credit Facility,"The facility will allow the company to provide comprehensive capital solutions to SMEs across the United States, with the long-term vision of transforming the way SMEs finance their working capital needs. Transaction details not disclosed.",
5/6/2015,"Oxford Finance [Lender]
Silicon Valley Bank [Lender]",$17.0 MM,Labcyte Inc.,Biotechnology,$7MM Credit Line; $10MM Term Loan,A $10 million senior secured term loan and a $7 million line of credit. Proceeds of the loan will be used to support Labcyte's research and development efforts and the expansion of its worldwide business. Transaction details not disclosed.,CA
5/6/2015,"J.P. Morgan Securities [Joint Bookrunner, Joint Lead Arranger]
Merrill Lynch [Joint Bookrunner, Joint Lead Arranger]
Citizens Bank [Joint Bookrunner]",$700.0 MM,Kaman,Distribution,Facility Increase; Amendment,"The new credit facility amends and restates the Company’s prior credit facility to, among other things: (i) extend the maturity date to May 2020; (ii) increase the aggregate amount of revolving commitments from $400 million to $600 million; (iii) reinstate the aggregate amount of outstanding Term Loans to $100 million; (iv) modify the affirmative and negative covenants set forth in the facility; and (v) effectuate a number of additional modifications to the terms and provisions of the facility, including its pricing.",
5/7/2015,"BB&T Capital Markets [Arranger]
Fifth Third Bank [Arranger]",$300.0 MM,Triangle Capital Corporation,Investment Financing,Senior Credit Facility,"A new $300.0 million senior credit facility, which replaced the company’s existing $165.0 million senior credit facility. The facility has an accordion feature which allows for an increase in the total borrowing size up to $350.0 million.  The credit facility’s availability period ends May 3, 2019, followed by a one-year amortization period with a final maturity date of May 3, 2020.  The interest rate for borrowings under the credit facility is LIBOR/CDOR plus 2.75%.  Including the effect of the new credit facility, the company’s total pro forma liquidity as of March 31, 2015, was in excess of $350.0 million.",
5/8/2015,Bridge Bank [Lender],$12.0 MM,Sysorex,Technology,$10MM Revolver; $2MM Term Loan,Amended its revolving credit to increase the credit limit from $6 million to $10 million and extend a new term loan in an aggregate principal amount of $2 million. Transaction details not disclosed.,
5/8/2015,Oxford Finance [Lender],$14.5 MM,Autumn Lake Healthcare at Oceanview,Healthcare,Senior Secured Term Loan,"A $14.5 million senior secured term loan with Autumn Lake Healthcare at Oceanview. Proceeds of the loan were used to purchase Oceanview Center for Rehabilitation, a 120-bed facility providing both short and long term care services, located in Ocean View, New Jersey. Transaction details not disclosed.",NJ
5/11/2015,Wells Fargo Bank [Lender],$975.0 MM,"On Assignment, Inc.",Staffing Services,$100MM Revolver; $875MM Term Loan,"A secured financing commitment for $975 million in connection with the acquisition of Creative Circle LLC by On Assignment, Inc. The new credit facility consists of a $100 million revolving credit facility (undrawn at close) and an $875 million term loan. The proceeds of the term B loan will be used to finance the cash portion of the purchase price and refinance existing On Assignment debt. Upon closing of the transaction, funded debt of the combined company is expected to total approximately 3.7x estimated pro forma adjusted EBITDA for the twelve months ended June 30, 2015.",
5/11/2015,SunTrust Robinson Humphrey [Left Lead Arranger],$600.0 MM,Macquarie Infrastructure Company,Specialty Industries,Revolving Credit Facility,"A new five year $600 million revolving credit facility. The facility bears interest at a variable rate based on the aggregate leverage of the business. At current levels, the first dollar of borrowing would be assessed interest at a rate of 1.93%. The revolving debt facility is expected to remain undrawn at closing.",
5/11/2015,Capital One Commercial Bank [Lender],$34.0 MM,Rollins-Nelson,Healthcare,$4MM Revolver; $30MM Term Loan,The financing package consisted of a $30.0 million senior secured term loan and a $4.0 million revolving line of credit.,
5/12/2015,Bank of America [Lender],$22.5 MM,"Rosina Food Products, Inc.",Food Production - Processing,$20MM Revolver; $2.5MM Term Loan,Facility to refinance the company’s existing debt and provide ongoing working capital financing to support the firm’s growth. Transaction details not disclosed.,
5/12/2015,CIT Bank [Lender],$90.0 MM,vXchnge Holdings,Technology,Senior Secured Credit Facility,"Facility to support vXchnge Holdings’ acquisition of eight datacenters. vXchnge is a portfolio company of The Stephens Group, a private equity firm located in Little Rock, Arkansas.",FL
